epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,761.016,1.50913,1.60981,1.59835,0.70881,0.13492,0.13877,0.09339,2.36178,3.13887,2.76846,0.000848969,0.000848969,0.000848969
43,776.077,1.52527,1.58251,1.59207,0.73223,0.11905,0.1336,0.06963,2.45576,3.13238,2.90807,0.000834822,0.000834822,0.000834822
44,792.362,1.44936,1.51323,1.58393,0.6096,0.19703,0.17461,0.06341,2.67406,3.12813,3.12473,0.000820675,0.000820675,0.000820675
45,807.713,1.39028,1.47541,1.52615,0.6096,0.19703,0.17461,0.06341,2.67406,3.12813,3.12473,0.000806528,0.000806528,0.000806528
46,823.09,1.43348,1.58844,1.52787,0.6464,0.15873,0.13847,0.04667,2.66343,2.94422,3.07728,0.00079238,0.00079238,0.00079238
47,838.673,1.38997,1.5338,1.49703,0.69943,0.15873,0.1786,0.06863,2.5157,2.99026,2.89621,0.000778233,0.000778233,0.000778233
48,853.722,1.37381,1.42932,1.45546,0.57914,0.15873,0.17287,0.08653,2.51048,2.98904,2.80721,0.000764086,0.000764086,0.000764086
49,868.4,1.48905,1.63217,1.57744,0.57914,0.15873,0.17287,0.08653,2.51048,2.98904,2.80721,0.000749939,0.000749939,0.000749939
50,883.409,1.33667,1.40562,1.42148,0.55843,0.18607,0.1048,0.05663,2.44777,2.99005,2.75049,0.000735792,0.000735792,0.000735792
51,898.248,1.44161,1.58894,1.61623,0.5287,0.13492,0.08263,0.05359,2.39824,2.88792,2.67909,0.000721645,0.000721645,0.000721645
52,913.186,1.27104,1.33956,1.43604,0.53253,0.15079,0.08642,0.05296,2.28998,2.83786,2.5336,0.000707498,0.000707498,0.000707498
53,928.514,1.47901,1.51203,1.52951,0.53253,0.15079,0.08642,0.05296,2.28998,2.83786,2.5336,0.000693351,0.000693351,0.000693351
54,943.499,1.28598,1.39326,1.46013,0.50125,0.15079,0.10303,0.065,2.24905,2.81014,2.50147,0.000679204,0.000679204,0.000679204
55,958.923,1.48498,1.61194,1.55143,0.56243,0.16667,0.12863,0.07724,2.38165,2.81443,2.54336,0.000665057,0.000665057,0.000665057
56,974.203,1.36584,1.42877,1.50922,0.58707,0.16667,0.1559,0.09403,2.39857,2.73906,2.58469,0.000650909,0.000650909,0.000650909
57,989.368,1.40983,1.52423,1.4915,0.58707,0.16667,0.1559,0.09403,2.39857,2.73906,2.58469,0.000636762,0.000636762,0.000636762
58,1004.97,1.30906,1.34334,1.4241,0.20336,0.16667,0.14378,0.08975,2.42819,2.76816,2.58268,0.000622615,0.000622615,0.000622615
59,1020.4,1.25151,1.25536,1.37613,0.22733,0.13492,0.14737,0.08222,2.53593,2.82381,2.64293,0.000608468,0.000608468,0.000608468
60,1036.18,1.39304,1.49386,1.52557,0.22035,0.13492,0.1393,0.07815,2.5183,2.78379,2.72005,0.000594321,0.000594321,0.000594321
61,1051.56,1.39009,1.44038,1.52457,0.22035,0.13492,0.1393,0.07815,2.5183,2.78379,2.72005,0.000580174,0.000580174,0.000580174
62,1067.27,1.24196,1.37091,1.41467,0.20461,0.41999,0.16132,0.08626,2.64521,2.85762,2.75098,0.000566027,0.000566027,0.000566027
63,1083.34,1.2018,1.25162,1.3623,0.17065,0.46825,0.16894,0.0792,2.64415,2.77933,2.78337,0.00055188,0.00055188,0.00055188
64,1099.3,1.25295,1.2859,1.40187,0.24159,0.4349,0.28884,0.09264,2.56753,2.76557,2.77568,0.000537733,0.000537733,0.000537733
65,1115.17,1.31936,1.2726,1.41014,0.24159,0.4349,0.28884,0.09264,2.56753,2.76557,2.77568,0.000523586,0.000523586,0.000523586
66,1130.71,1.23742,1.20334,1.36989,0.18677,0.44412,0.26326,0.07401,2.52921,2.78239,2.74371,0.000509438,0.000509438,0.000509438
67,1145.97,1.29164,1.31194,1.45979,0.55749,0.13492,0.26044,0.07151,2.46872,2.79169,2.69212,0.000495291,0.000495291,0.000495291
68,1161.38,1.31336,1.27766,1.44903,0.52601,0.11905,0.20142,0.07855,2.46679,2.85587,2.69667,0.000481144,0.000481144,0.000481144
69,1176.51,1.19433,1.24163,1.39058,0.52601,0.11905,0.20142,0.07855,2.46679,2.85587,2.69667,0.000466997,0.000466997,0.000466997
70,1190.31,1.27821,1.2823,1.43998,0.59863,0.11905,0.45111,0.17149,2.46462,2.80939,2.65774,0.00045285,0.00045285,0.00045285
71,1204.24,1.22473,1.20466,1.39861,0.40125,0.20635,0.44173,0.20252,2.47277,2.8398,2.69531,0.000438703,0.000438703,0.000438703
72,1218.39,1.16922,1.18113,1.34385,0.3619,0.53968,0.44185,0.23203,2.36857,2.85955,2.65965,0.000424556,0.000424556,0.000424556
73,1232.75,1.30855,1.37008,1.47622,0.3619,0.53968,0.44185,0.23203,2.36857,2.85955,2.65965,0.000410409,0.000410409,0.000410409
74,1246.89,1.25474,1.42779,1.40383,0.32971,0.48413,0.43554,0.22905,2.40896,2.89836,2.69759,0.000396262,0.000396262,0.000396262
75,1260.83,1.28395,1.30994,1.45104,0.37469,0.48413,0.43384,0.22163,2.41369,2.88833,2.71916,0.000382115,0.000382115,0.000382115
76,1274.69,1.24375,1.2506,1.36444,0.38044,0.48413,0.44777,0.21959,2.53809,2.99033,2.80602,0.000367967,0.000367967,0.000367967
77,1288.81,1.12633,1.19489,1.34162,0.38044,0.48413,0.44777,0.21959,2.53809,2.99033,2.80602,0.00035382,0.00035382,0.00035382
78,1303.11,1.22274,1.24483,1.42162,0.40195,0.48413,0.45229,0.23029,2.5945,2.97524,2.8291,0.000339673,0.000339673,0.000339673
79,1317.8,1.23102,1.2258,1.39385,0.35139,0.48413,0.45707,0.22253,2.56822,2.91673,2.82607,0.000325526,0.000325526,0.000325526
80,1334.69,1.09164,1.08937,1.29427,0.32101,0.48413,0.43146,0.21684,2.51971,2.87095,2.80528,0.000311379,0.000311379,0.000311379
81,1349.27,1.2219,1.25505,1.37487,0.32101,0.48413,0.43146,0.21684,2.51971,2.87095,2.80528,0.000297232,0.000297232,0.000297232
82,1363.87,1.21484,1.27401,1.42191,0.39163,0.48413,0.42766,0.21382,2.48912,2.84093,2.7534,0.000283085,0.000283085,0.000283085
83,1378.43,1.19255,1.20658,1.35476,0.45538,0.45238,0.45461,0.24604,2.49064,2.83266,2.74997,0.000268938,0.000268938,0.000268938
84,1392.63,1.1668,1.14129,1.33982,0.44611,0.45238,0.45186,0.24366,2.51687,2.79369,2.75322,0.000254791,0.000254791,0.000254791
85,1408.73,1.15201,1.14498,1.35085,0.44611,0.45238,0.45186,0.24366,2.51687,2.79369,2.75322,0.000240644,0.000240644,0.000240644
86,1424.17,1.13117,1.09512,1.29296,0.60299,0.45564,0.44426,0.27992,2.53856,2.8992,2.76962,0.000226497,0.000226497,0.000226497
87,1439.21,1.10432,1.11166,1.3106,0.54266,0.45238,0.44616,0.28642,2.49774,2.90749,2.73171,0.000212349,0.000212349,0.000212349
88,1454.46,1.18511,1.17876,1.37375,0.59985,0.45238,0.44741,0.27888,2.46228,2.89486,2.70305,0.000198202,0.000198202,0.000198202
89,1468.94,1.10862,1.16268,1.33346,0.59985,0.45238,0.44741,0.27888,2.46228,2.89486,2.70305,0.000184055,0.000184055,0.000184055
90,1483.47,1.04864,1.07709,1.30444,0.55384,0.45238,0.45069,0.31685,2.42759,2.89459,2.6716,0.000169908,0.000169908,0.000169908
91,1498.07,1.13226,1.20301,1.40785,0.5055,0.45238,0.44958,0.35093,2.40636,2.88104,2.68152,0.000155761,0.000155761,0.000155761
92,1512.09,1.05579,1.17837,1.30714,0.54852,0.45238,0.45264,0.38371,2.39332,2.82493,2.70713,0.000141614,0.000141614,0.000141614
93,1525.83,1.06409,1.18437,1.34494,0.54852,0.45238,0.45264,0.38371,2.39332,2.82493,2.70713,0.000127467,0.000127467,0.000127467
94,1539.3,1.08506,1.12322,1.35129,0.55432,0.45238,0.45141,0.38654,2.39782,2.78795,2.70992,0.00011332,0.00011332,0.00011332
95,1553.27,1.0898,1.15033,1.39031,0.50862,0.45238,0.45014,0.38491,2.40011,2.75364,2.75239,9.91726e-05,9.91726e-05,9.91726e-05
96,1568.33,1.07738,1.16351,1.35092,0.43597,0.45238,0.44948,0.34894,2.43968,2.74022,2.75736,8.50255e-05,8.50255e-05,8.50255e-05
97,1585.64,1.15241,1.26662,1.40482,0.43597,0.45238,0.44948,0.34894,2.43968,2.74022,2.75736,7.08784e-05,7.08784e-05,7.08784e-05
98,1599.79,1.11612,1.14836,1.42095,0.38037,0.45238,0.45194,0.34971,2.47406,2.73815,2.77388,5.67313e-05,5.67313e-05,5.67313e-05
99,1613.77,0.98463,1.06858,1.23002,0.37349,0.46825,0.44902,0.34953,2.50618,2.72409,2.78682,4.25842e-05,4.25842e-05,4.25842e-05
100,1627.55,1.03232,1.09469,1.2787,0.33583,0.46825,0.45018,0.34997,2.47633,2.72092,2.7727,2.84371e-05,2.84371e-05,2.84371e-05
